generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,prune_rate,duplicate_mutate_rate,fitness,matches,elapsed_time_seconds,expression
1,14,500,4000,4,0.4560608580048626,0.07785110986864045,0.4660880321264969,2.0,0.6925620043619208,0.01136349190862812,0.44313320607767354,-38.0,2,41.12315106391907,(n + (n / ((e + n) - e)))
1,19,300,1000,3,0.4392377224044759,0.022119069477820063,0.538643208117704,2.0,0.8811674757274719,0.12469849339863576,0.05793999211314699,-3.0,1,4.238635540008545,"(nroot(n, atan(n)) + n)"
1,15,500,2000,9,0.644255302636543,0.1455169483433039,0.21022774902015315,2.0,0.8011191861287691,0.11062280643009736,0.42712964387933433,-2.0,1,46.64359259605408,((n / (n * n)) + n)
1,16,200,3000,10,0.38846427908116354,0.430020558597694,0.18151516232114245,2.0,0.6341003678405586,0.3689456496885823,0.49637876498116457,-3.0,1,37.76603102684021,"(n + nroot(n, atan(n)))"
1,20,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,174.48597526550293,(n + (sin(n) ** sin((n * pi))))
1,1,2000,5000,8,0.8675681484133583,0.09777578090359516,0.03465607068304656,2.0,0.9683279021657865,0.3137502891159816,0.3469087834494047,-37.0,2,287.1757950782776,(n + (n - (n + (neg(sin(n)) / sin(n)))))
1,7,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,313.5381336212158,(((phi * phi) - phi) + n)
1,6,2000,4000,9,0.4727553454253802,0.3170469166938021,0.2101977378808177,2.0,0.8749863971266264,0.4520402363866783,0.205489127832709,-39.0,2,476.35525918006897,(n - (neg((n + n)) / (n + n)))
1,12,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,1065.809226512909,(n + (sin(n) ** sin((n * pi))))
1,18,2000,10000,15,0.4148350838304554,0.04880877449658583,0.5363561416729588,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-39.0,2,1624.2395069599152,(((phi * phi) - phi) + n)
2,1,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-38.0,2,171.98154377937317,(((atan(n) / (atan(n) / n)) / n) + n)
2,6,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-40.0,2,173.46447443962097,(n + sin(acos(sin((n * pi)))))
2,9,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-3.0,1,143.2483332157135,"(nroot(n, sin(n)) + n)"
2,2,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-40.0,2,359.5012593269348,(n - cos((n - (pi + n))))
2,7,1500,4000,8,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.7690927387266764,0.02394618508917845,0.2588716031986952,-39.0,2,451.52828192710876,(n + (sin(n) ** tan((n * pi))))
2,3,2000,4000,9,0.4727553454253802,0.3170469166938021,0.2101977378808177,2.0,0.8749863971266264,0.4520402363866783,0.205489127832709,-39.0,2,567.3739323616028,(((sin(n) * n) + sin(n)) / sin(n))
2,14,1500,4000,6,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,353.13001704216003,(n + (cos(n) ** sin((n * pi))))
2,4,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-40.0,2,1027.382210969925,(n - cos((n / (n / pi))))
2,15,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,146.67280459403992,((phi * phi) + (n - phi))
2,8,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,1159.9411261081696,(n + (atan(n) ** sin((n * pi))))
2,16,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-38.0,2,142.53740739822388,((n * (euler_gamma / (euler_gamma * n))) + n)
2,18,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-39.0,2,198.7140326499939,((sin(n) ** sin((n * pi))) + n)
2,11,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,1082.3273358345032,(n - (neg(((n + n) - n)) / n))
2,12,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-41.0,2,1094.1545221805573,(n - (sin((pi / n)) - n))
2,20,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-3.0,1,126.25128316879272,"(n + nroot(n, sin(n)))"
2,13,2000,10000,8,0.2461468379619929,0.27844201124881596,0.47541115078919116,2.0,0.20655525448161832,0.04058366894182086,0.4551854121526649,-38.0,2,1127.872720003128,(((catalan / (catalan * n)) * n) + n)
2,17,2000,4000,9,0.4727553454253802,0.3170469166938021,0.2101977378808177,2.0,0.8749863971266264,0.4520402363866783,0.205489127832709,-39.0,2,545.7585911750793,((tan(n) ** sin((pi * n))) + n)
2,19,2000,10000,8,0.9545597789606686,0.0375843301612548,0.00785589087807663,2.0,0.20655525448161832,0.43729181245732274,0.4551854121526649,-39.0,2,483.8496778011322,((sin(n) ** sin((n * pi))) + n)
2,5,2000,10000,15,0.4148350838304554,0.04880877449658583,0.5363561416729588,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-39.0,2,1794.769113779068,(cos((((n + n) - n) - n)) + n)
2,10,2000,10000,15,0.40342349416963785,0.563009430486801,0.03356707534356118,2.0,0.5600158818187077,0.30732724187572363,0.3001715412578494,-41.0,2,2377.496987581253,((n + n) - sin((pi / n)))
3,3,300,10000,8,0.2720442138246497,0.44773136128690566,0.2802244248884446,2.0,0.13760596684328336,0.08347010594799609,0.34859793639708286,-38.0,2,179.72009348869324,(n + (n / (pi - (pi - n))))
3,7,1500,4000,6,0.39977919688751484,0.3513363788530256,0.24888442425945956,2.0,0.35972395771583554,0.02394618508917845,0.2588716031986952,-39.0,2,320.65833139419556,((atan(n) ** sin((pi * n))) + n)
