machine | field | kills in window | mirror is a kill of the same field | mirror is a kill of any field | mirror is a twin member
29 | lower:31 | 8 | 0/8 | 8/8 | 0/8
29 | lower:37 | 6 | 0/6 | 6/6 | 0/6
29 | lower:41 | 6 | 0/6 | 6/6 | 0/6
29 | lower:43 | 6 | 0/6 | 6/6 | 0/6
29 | lower:47 | 5 | 0/5 | 5/5 | 0/5
29 | lower:53 | 4 | 0/4 | 4/4 | 0/4
29 | lower:59 | 4 | 0/4 | 4/4 | 0/4
29 | lower:61 | 4 | 0/4 | 4/4 | 0/4
29 | lower:67 | 3 | 0/3 | 3/3 | 0/3
29 | lower:71 | 3 | 0/3 | 3/3 | 0/3
29 | lower:73 | 3 | 0/3 | 3/3 | 0/3
29 | lower:79 | 2 | 0/2 | 2/2 | 0/2
29 | lower:83 | 2 | 0/2 | 2/2 | 0/2
29 | lower:89 | 2 | 0/2 | 2/2 | 0/2
29 | lower:97 | 2 | 0/2 | 2/2 | 0/2
29 | lower:101 | 2 | 0/2 | 2/2 | 0/2
29 | lower:103 | 2 | 0/2 | 2/2 | 0/2
29 | lower:107 | 2 | 0/2 | 2/2 | 0/2
29 | lower:109 | 2 | 0/2 | 2/2 | 0/2
29 | lower:113 | 2 | 0/2 | 2/2 | 0/2
29 | lower:127 | 1 | 0/1 | 1/1 | 0/1
29 | lower:131 | 1 | 0/1 | 1/1 | 0/1
29 | lower:137 | 1 | 0/1 | 1/1 | 0/1
29 | lower:139 | 1 | 0/1 | 1/1 | 0/1
29 | lower:149 | 1 | 0/1 | 1/1 | 0/1
29 | lower:151 | 1 | 0/1 | 1/1 | 0/1
29 | lower:157 | 1 | 0/1 | 1/1 | 0/1
29 | lower:163 | 1 | 0/1 | 1/1 | 0/1
29 | lower:167 | 1 | 0/1 | 1/1 | 0/1
29 | lower1:7 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:11 | 5 | 0/5 | 5/5 | 0/5
29 | lower1:13 | 7 | 0/7 | 7/7 | 0/7
29 | lower1:17 | 7 | 0/7 | 7/7 | 0/7
29 | lower1:19 | 7 | 0/7 | 7/7 | 0/7
29 | lower1:23 | 8 | 0/8 | 8/8 | 0/8
29 | lower1:29 | 8 | 0/8 | 8/8 | 0/8
29 | lower1:31 | 8 | 0/8 | 8/8 | 0/8
29 | lower1:37 | 6 | 0/6 | 6/6 | 0/6
29 | lower1:41 | 6 | 0/6 | 6/6 | 0/6
29 | lower1:43 | 6 | 0/6 | 6/6 | 0/6
29 | lower1:47 | 5 | 0/5 | 5/5 | 0/5
29 | lower1:53 | 4 | 0/4 | 4/4 | 0/4
29 | lower1:59 | 4 | 0/4 | 4/4 | 0/4
29 | lower1:61 | 4 | 0/4 | 4/4 | 0/4
29 | lower1:67 | 3 | 0/3 | 3/3 | 0/3
29 | lower1:71 | 3 | 0/3 | 3/3 | 0/3
29 | lower1:73 | 3 | 0/3 | 3/3 | 0/3
29 | lower1:79 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:83 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:89 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:97 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:101 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:103 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:107 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:109 | 2 | 0/2 | 2/2 | 0/2
29 | lower1:113 | 2 | 0/2 | 2/2 | 0/2
