the {3, h} rows per machine: hits of the form S = {3, h} with h a single gear above sqrt q (landing E +- 6h); listed as h+ or h-
q = 401: E = 13319; gears above sqrt q in reach 71 (x2 directions); hits 14: 53- 67+ 67- 73+ 83- 97+ 113+ 127+ 157- 167+ 193- 257- 367- 397-
q = 409: E = 11219; gears above sqrt q in reach 72 (x2 directions); hits 14: 47- 83+ 127- 137+ 157+ 193+ 197- 227- 257- 283+ 293- 313- 353+ 397-
q = 419: E = 13919; gears above sqrt q in reach 73 (x2 directions); hits 9: 67+ 97- 107+ 167- 257- 277+ 293- 313- 367-
q = 421: E = 76439; gears above sqrt q in reach 74 (x2 directions); hits 9: 47- 73- 137+ 137- 163+ 173+ 173- 283+ 373-
q = 431: E = 104579; gears above sqrt q in reach 75 (x2 directions); hits 10: 37+ 193- 257+ 283+ 317- 347+ 347- 367+ 397+ 397-
q = 433: E = 77279; gears above sqrt q in reach 76 (x2 directions); hits 7: 23+ 53- 193+ 277- 283+ 313- 353+
q = 439: E = 107099; gears above sqrt q in reach 77 (x2 directions); hits 9: 23- 53- 73- 103+ 137- 163- 227+ 233+ 383-
q = 443: E = 78959; gears above sqrt q in reach 78 (x2 directions); hits 8: 73+ 137- 157+ 173+ 257- 283- 347+ 373+
q = 449: E = 109619; gears above sqrt q in reach 79 (x2 directions); hits 4: 37+ 193- 317- 443-
q = 457: E = 82319; gears above sqrt q in reach 80 (x2 directions); hits 10: 47- 67+ 73+ 103- 173- 233+ 257- 317+ 367+ 443+
q = 461: E = 111299; gears above sqrt q in reach 81 (x2 directions); hits 6: 137- 163- 173+ 347+ 373+ 457+
q = 463: E = 83159; gears above sqrt q in reach 82 (x2 directions); hits 12: 67+ 67- 73- 157- 193+ 227+ 283+ 313- 353- 367+ 397- 443+
q = 467: E = 112979; gears above sqrt q in reach 83 (x2 directions); hits 9: 37- 67+ 103- 107+ 107- 277+ 397+ 443- 467+
q = 479: E = 88199; gears above sqrt q in reach 84 (x2 directions); hits 10: 23+ 103+ 107- 163- 227+ 233+ 283+ 367+ 373+ 397-
q = 487: E = 116339; gears above sqrt q in reach 85 (x2 directions); hits 10: 73- 163- 173- 193+ 227+ 257+ 257- 283- 383- 467-
q = 491: E = 89879; gears above sqrt q in reach 86 (x2 directions); hits 13: 23+ 37- 47- 53+ 53- 157+ 257- 263+ 313- 373- 383+ 443- 467+
q = 499: E = 119699; gears above sqrt q in reach 87 (x2 directions); hits 11: 37+ 47+ 47- 67- 173+ 227+ 313+ 347- 367- 443- 467+
q = 503: E = 91559; gears above sqrt q in reach 88 (x2 directions); hits 11: 103+ 137+ 157- 193- 227- 233+ 257- 277- 317- 367+ 457-
q = 509: E = 122219; gears above sqrt q in reach 89 (x2 directions); hits 12: 47+ 107- 193+ 193- 227+ 317+ 347+ 353+ 373- 383- 467- 487-
q = 521: E = 96599; gears above sqrt q in reach 90 (x2 directions); hits 10: 23+ 37+ 67+ 107- 163+ 193- 283+ 367- 383+ 443+
q = 523: E = 123059; gears above sqrt q in reach 91 (x2 directions); hits 4: 53+ 53- 353- 523-
q = 541: E = 104159; gears above sqrt q in reach 91 (x2 directions); hits 10: 37+ 53- 107+ 233- 277- 347- 353+ 397+ 443- 467+
q = 547: E = 125579; gears above sqrt q in reach 92 (x2 directions); hits 6: 53+ 173- 233- 367- 373+ 443+
q = 557: E = 108359; gears above sqrt q in reach 93 (x2 directions); hits 8: 107- 193+ 233- 263- 283- 347- 353+ 373-
q = 563: E = 128099; gears above sqrt q in reach 94 (x2 directions); hits 6: 47- 233+ 257+ 367- 457+ 563+
q = 569: E = 110879; gears above sqrt q in reach 95 (x2 directions); hits 8: 67- 173- 227- 313+ 367+ 397- 443+ 457+
