Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
1399	1409	19	234	330879	330646	4679	77453	1099	14729	174	14729	174	1	62724	0.9401	0.7827	0.2023	-55.1392	79	41836	1004	-12.8567	349	6.4746	59	694	30	0.1224	0.4642	21.4581	9.6593	0.8629	0.5463	60.6696	227	26937	0.9198	0.3168
1409	1423	19	236	337487	337252	6607	78996	1542	14994	265	14994	265	1	64002	0.9397	0.8508	0.2020	-57.3038	79	42672	1023	-12.6991	349	-7.5854	41	1160	49	0.1220	0.3559	21.8500	9.6776	0.8497	0.5231	61.5330	227	27520	0.9100	0.3154
1423	1427	19	238	339387	339150	1899	79442	445	15071	77	15071	77	1	64371	0.9405	0.8579	0.2017	-59.3797	79	42912	1027	-11.2550	349	4.3363	113	207	8	0.1222	0.5623	21.1820	9.6818	0.8531	0.5071	62.8152	211	28399	0.9066	0.3143
1427	1429	19	239	340339	340101	951	79663	221	15103	33	15103	33	1	64560	0.9412	0.7413	0.2014	-58.3924	79	43031	1031	-9.5215	349	2.5989	349	70	3	0.1224	0.8777	21.1675	9.6832	0.8557	0.5301	63.0284	211	28482	0.9105	0.3211
1429	1433	19	239	342247	342009	1907	80111	447	15174	71	15174	71	1	64937	0.9417	0.7897	0.2011	-57.3671	79	43267	1038	11.2268	97	4.3191	47	298	17	0.1227	0.6278	21.2684	9.6874	0.8549	0.5063	62.5308	211	28640	0.9128	0.3342
1433	1439	19	240	345119	344880	2871	80788	676	15289	115	15289	115	1	65499	0.9422	0.8470	0.2009	-56.7848	79	43639	1048	-9.9685	349	-5.3051	59	422	9	0.1224	0.5136	21.4310	9.6944	0.8579	0.5249	62.1611	211	28890	0.9143	0.3277
1439	1447	19	241	348967	348727	3847	81686	898	15436	147	15436	147	1	66250	0.9421	0.8161	0.2006	59.3555	211	29819	342	11.2301	113	6.9245	53	585	29	0.1226	0.5122	21.6398	9.7041	0.8581	0.5503	64.9858	211	29225	0.9147	0.3237
1447	1451	19	242	350899	350658	1931	82133	446	15492	56	15492	56	1	66641	0.9417	0.6269	0.2003	59.9621	211	29966	344	-11.6762	349	5.7568	37	356	25	0.1228	0.8472	21.7225	9.7082	0.8556	0.5550	65.5924	211	29372	0.9153	0.3568
1451	1453	19	243	351867	351625	967	82363	231	15527	36	15527	36	1	66836	0.9425	0.7791	0.2000	59.1280	211	30054	344	11.1628	43	4.4468	47	154	11	0.1227	0.8226	21.7715	9.7096	0.8537	0.5305	64.7488	211	29461	0.9138	0.3419
1453	1459	19	243	354779	354537	2911	83040	677	15630	103	15630	103	1	67410	0.9423	0.7617	0.1998	61.6161	211	30319	349	-11.7317	41	-5.9149	47	468	14	0.1231	0.6378	21.9187	9.7164	0.8553	0.5700	67.2370	211	29726	0.9115	0.3326
1459	1471	19	244	360639	360396	5859	84420	1381	15859	229	15859	229	1	68561	0.9418	0.8313	0.1995	59.7820	211	30829	352	13.4884	43	-5.7975	163	554	1	0.1229	0.3823	22.0473	9.7315	0.8567	0.5193	65.4028	211	30236	0.9164	0.3240
1471	1481	19	246	365559	365314	4919	85567	1146	16033	174	16033	174	1	69534	0.9406	0.7622	0.1992	58.7915	211	31250	355	-9.4397	307	10.0811	37	905	59	0.1234	0.5257	22.2974	9.7436	0.8525	0.5615	64.4123	211	30657	0.9135	0.3330
1481	1483	19	248	366547	366300	987	85802	236	16065	33	16065	33	1	69737	0.9412	0.7029	0.1989	59.0616	211	31327	356	-9.4411	331	3.2817	71	132	7	0.1236	0.8354	22.3419	9.7450	0.8533	0.5077	64.6730	211	30735	0.9110	0.3297
1483	1487	19	248	368527	368280	1979	86263	460	16135	70	16135	70	1	70128	0.9415	0.7660	0.1987	58.5355	211	31488	357	-9.9775	1021	3.7426	101	215	8	0.1235	0.6482	22.1630	9.7490	0.8524	0.5106	64.1469	211	30896	0.9069	0.3283
1487	1489	19	249	369519	369271	991	86495	233	16164	30	16164	30	1	70331	0.9419	0.6490	0.1984	58.7299	211	31573	358	-10.4319	1021	-3.8140	43	168	4	0.1238	0.9214	23.0543	9.7504	0.8538	0.5079	64.3318	211	30982	0.9064	0.3295
1489	1493	19	249	371507	371259	1987	86961	465	16245	81	16245	81	1	70716	0.9428	0.8792	0.1981	59.0047	211	31755	360	9.3853	109	-5.0000	59	295	5	0.1237	0.5909	22.7697	9.7544	0.8517	0.5480	64.6066	211	31164	0.9033	0.3449
1493	1499	19	250	374499	374250	2991	87658	696	16371	126	16371	126	1	71287	0.9439	0.9149	0.1979	57.5213	211	32017	361	-11.4673	107	5.1967	61	421	19	0.1236	0.4530	23.3454	9.7610	0.8545	0.5245	63.1232	211	31426	0.9062	0.3275
1499	1511	19	251	380519	380269	6019	89074	1415	16595	224	16595	224	1	72479	0.9428	0.8011	0.1976	58.7346	211	32522	367	-12.4838	1021	7.0189	53	927	42	0.1237	0.4257	24.5485	9.7757	0.8607	0.5422	64.3365	211	31931	0.9174	0.3263
1511	1523	19	253	386587	386335	6067	90490	1415	16812	217	16812	217	1	73678	0.9414	0.7771	0.1973	60.7867	211	33044	374	12.4071	113	7.1642	67	832	32	0.1236	0.4533	23.7413	9.7902	0.8595	0.5496	66.3886	211	32453	0.9121	0.3243
1523	1531	19	255	390659	390405	4071	91442	952	16965	153	16965	153	1	74477	0.9414	0.8155	0.1971	58.3460	211	33407	375	10.5575	113	-7.1148	61	583	12	0.1238	0.5070	24.1876	9.7993	0.8597	0.5491	63.9479	211	32816	0.9069	0.3218
1531	1543	19	256	396807	396552	6147	92886	1443	17196	231	17196	231	1	75690	0.9406	0.8133	0.1968	58.1611	211	33954	380	-11.2980	349	5.0934	257	502	9	0.1242	0.3917	24.3907	9.8137	0.8615	0.5016	64.1843	293	28394	0.9214	0.3256
1543	1549	19	258	399899	399642	3091	93609	724	17305	109	17305	109	1	76304	0.9404	0.7659	0.1966	59.6114	211	34223	384	-10.2927	41	7.5738	61	440	22	0.1246	0.6104	23.9767	9.8202	0.8655	0.5594	65.2133	211	33632	0.9202	0.3240
1549	1553	19	259	401967	401709	2067	94092	482	17378	73	17378	73	1	76714	0.9408	0.7715	0.1963	-63.8354	79	50751	1221	11.6279	43	-4.4051	79	253	2	0.1247	0.6827	21.6161	9.8240	0.8642	0.5393	64.5166	211	33811	0.9267	0.3450
1553	1559	19	260	405079	404820	3111	94824	732	17489	111	17489	111	1	77335	0.9407	0.7734	0.1961	-61.1392	79	51158	1234	11.6991	113	-6.8491	53	473	11	0.1251	0.5819	22.5229	9.8305	0.8651	0.5418	67.8294	293	29032	0.9199	0.3376
