Q	g	N_cur	raw	fresh	D_raw	D_fresh	N_cur_sec	raw_sec	fresh_sec	D_raw_sec	D_fresh_sec	N_cur_left	fresh_left	pct	pct_sec	fits	delta_lower	hist_range	hist_std	N_live	D_live	pct_live
997	409	10682	245	65	-0.9364	12.7653	290	4	0	-1.7946	-1.4181	5206	25	0.9436	0.7770	0	nan	25	4.1099	8853	21.7090	0.9975
997	419	10617	240	68	-0.0668	17.3222	290	4	2	-1.6563	0.6158	5181	27	0.9976	0.5311	0	nan	23	3.9844	8728	26.3389	0.9976
997	421	10549	237	59	-1.9264	8.8860	288	7	3	1.3705	1.6318	5154	22	0.8976	0.9024	0	nan	24	3.8322	8636	17.9739	0.9976
997	431	10490	231	60	-2.3828	11.3225	285	6	3	0.5012	1.6775	5132	25	0.9605	0.9023	0	nan	24	3.9205	8487	20.6172	0.9977
997	433	10430	231	66	-1.3048	17.8245	282	6	3	0.5266	1.6975	5107	27	0.9977	0.9051	0	nan	23	3.7338	8408	27.1640	0.9977
997	439	10364	228	59	-1.1298	11.7836	279	6	2	0.6014	0.7289	5080	25	0.9886	0.4954	0	nan	21	3.8587	8298	21.1959	0.9977
997	443	10305	231	64	3.9391	17.4763	277	7	3	1.6501	1.7494	5055	23	0.9977	0.9321	0	nan	26	3.9103	8216	26.9074	0.9977
997	449	10241	225	57	0.9733	11.3831	274	7	2	1.7216	0.7795	5032	22	0.9554	0.5268	0	nan	23	3.8327	8106	20.8931	0.9978
997	457	10184	216	58	-4.1050	13.4311	272	5	3	-0.1860	1.8096	5010	21	0.9868	0.9430	0	nan	22	3.5431	7979	23.0810	0.9978
997	461	10126	214	54	-4.1952	10.0694	269	4	0	-1.1410	-1.1670	4989	19	0.9717	0.7674	0	nan	23	3.5420	7888	19.7787	0.9978
997	463	10072	219	54	1.7473	10.4924	269	5	2	-0.1188	0.8380	4970	22	0.9589	0.5065	0	nan	21	3.7670	7824	20.2030	0.9978
997	467	10018	217	52	1.6081	9.0964	267	7	2	1.9251	0.8565	4948	21	0.9506	0.5043	0	nan	20	3.6093	7740	18.8522	0.9979
997	479	9966	208	48	-1.9958	6.3883	265	6	2	1.0522	0.8935	4927	19	0.7803	0.4623	0	nan	20	3.6772	7588	16.3173	0.9979
997	487	9918	205	48	-1.5462	7.2690	263	7	2	2.1335	0.9199	4908	23	0.8868	0.5185	0	nan	19	3.4382	7466	17.3388	0.9979
997	491	9870	206	55	1.1365	14.7963	261	6	2	1.1731	0.9369	4885	20	0.9980	0.5102	0	nan	23	3.6286	7394	24.8819	0.9980
997	499	9815	204	49	2.4208	9.6613	259	7	1	2.2505	-0.0381	4865	20	0.9659	0.2068	0	nan	22	3.6287	7269	19.8657	0.9980
997	503	9766	199	57	-0.9761	18.1690	258	5	3	0.2883	1.9742	4845	20	0.9980	0.9562	0	nan	21	3.5548	7192	28.4036	0.9980
997	509	9709	198	58	0.3811	19.8507	255	5	3	0.3438	1.9980	4825	20	0.9980	0.9547	0	nan	23	3.6165	7089	30.1454	0.9980
997	521	9651	193	40	-0.0672	2.9520	252	5	0	0.4511	-0.9674	4805	18	0.4442	0.5192	0	nan	21	3.3577	6922	13.4280	0.9981
997	523	9611	193	45	0.6711	8.2467	252	5	1	0.4685	0.0363	4787	18	0.9330	0.1782	0	nan	20	3.3918	6861	18.7629	0.9981
997	541	9566	188	36	2.0702	0.6359	251	5	4	0.6192	3.0721	4769	10	0.1500	0.9981	0	nan	18	3.2571	6659	11.3826	0.9833
997	547	9530	185	49	1.1097	14.1554	247	3	1	-1.3327	0.0969	4759	14	0.9982	0.1941	0	nan	21	3.2852	6578	24.9488	0.9982
997	557	9481	179	47	-1.5889	12.9569	246	2	1	-2.2549	0.1167	4745	16	0.9874	0.2212	0	nan	20	3.3726	6430	23.9120	0.9982
997	563	9434	177	37	-1.6643	3.4867	245	3	1	-1.2096	0.1297	4729	8	0.5445	0.2011	0	nan	19	3.3109	6329	14.5169	0.9982
997	569	9397	180	39	3.2197	5.9701	244	6	0	1.8348	-0.8576	4721	11	0.8046	0.6004	0	nan	17	3.2424	6221	17.1336	0.9982
997	571	9358	176	31	-0.1611	-1.7776	244	3	0	-1.1506	-0.8546	4710	10	0.2649	0.6175	0	nan	23	3.3915	6161	9.4203	0.9912
997	577	9327	174	41	-0.3293	8.6707	244	4	2	-0.1075	1.1542	4700	8	0.9514	0.9045	0	nan	19	3.2646	6063	19.9844	0.9983
997	587	9286	170	38	-1.3595	6.3612	242	4	1	-0.0375	0.1755	4692	11	0.7935	0.1894	0	nan	20	3.4406	5940	17.7615	0.9983
997	593	9248	171	35	1.3744	3.8094	241	3	0	-0.9966	-0.8128	4681	7	0.5929	0.6267	0	nan	21	3.3960	5850	15.2698	0.9983
997	599	9213	167	38	-0.9265	7.2387	241	6	2	2.0434	1.1953	4674	12	0.8779	0.8980	0	nan	19	3.3442	5755	18.7846	0.9983
997	601	9175	164	33	-3.3677	2.4676	239	5	0	1.0566	-0.7953	4662	10	0.3683	0.6467	0	nan	21	3.1967	5697	14.0416	0.9967
997	607	9142	168	33	2.2867	2.8781	239	3	1	-0.9044	0.2125	4652	5	0.4851	0.1832	0	nan	22	3.3176	5612	14.5091	0.9983
997	613	9109	162	37	-2.0914	7.2806	238	5	1	1.1338	0.2235	4647	8	0.9314	0.1830	0	nan	19	3.1338	5527	18.9674	0.9984
997	617	9072	165	29	1.9724	-0.4068	237	7	2	3.1588	1.2318	4639	7	0.0471	0.9058	0	nan	19	3.2183	5457	11.3112	0.9984
997	619	9043	163	35	0.4992	5.7819	235	4	1	0.1712	0.2407	4632	7	0.7929	0.2168	0	nan	21	3.1987	5408	17.5267	0.9984
997	631	9008	157	32	-2.4105	3.4485	234	3	1	-0.7559	0.2583	4625	5	0.5175	0.1794	0	nan	17	3.1107	5254	15.3471	0.9984
997	641	8976	154	23	-2.9236	-5.0062	233	4	2	0.3027	1.2730	4620	2	0.7594	0.9078	0	nan	18	3.1035	5120	7.0250	0.9641
997	643	8953	158	30	1.5645	2.1524	231	4	1	0.3142	0.2815	4618	4	0.4174	0.1963	0	nan	23	3.1798	5078	14.2053	0.9984
997	647	8923	156	29	0.5317	1.4173	230	4	2	0.3369	1.2890	4614	3	0.2709	0.9087	0	nan	20	3.1737	5008	13.5193	0.9985
997	653	8894	158	30	3.9602	2.7596	228	5	0	1.3706	-0.6983	4611	5	0.5031	0.6258	0	nan	18	3.0813	4915	14.9464	0.9985
997	659	8864	152	33	-0.6373	6.0986	228	5	2	1.4036	1.3080	4606	3	0.8860	0.9225	0	nan	19	3.1553	4812	18.3961	0.9985
997	661	8831	150	27	-2.1755	0.2799	226	3	0	-0.5855	-0.6838	4603	2	0.0530	0.6091	0	nan	20	3.0632	4757	12.6067	0.9985
997	673	8804	148	20	-1.4621	-6.1634	226	4	1	0.4785	0.3284	4601	2	0.8646	0.1801	0	nan	19	3.1765	4622	6.2645	0.9539
997	677	8784	151	23	2.4210	-2.9498	225	5	2	1.4993	1.3353	4599	1	0.4793	0.9201	0	nan	20	3.1016	4560	9.5288	0.9941
997	683	8761	149	16	1.7262	-9.6545	223	2	0	-1.4700	-0.6530	4598	0	0.9883	0.6100	0	nan	16	2.7713	4478	2.8873	0.6232
997	691	8745	145	16	-0.5687	-9.3111	223	5	0	1.5702	-0.6454	4598	1	0.9696	0.6348	0	nan	18	2.9245	4382	3.3169	0.6594
997	701	8729	143	25	-0.4922	0.0956	223	2	0	-1.3809	-0.6362	4597	2	0.0471	0.6086	0	nan	17	2.9148	4261	12.8431	0.9986
997	709	8704	143	19	1.1269	-5.5529	223	4	1	0.6573	0.3709	4595	0	0.8460	0.1780	0	nan	18	2.9003	4157	7.2736	0.9831
997	719	8685	138	20	-1.8999	-4.1586	222	3	1	-0.2962	0.3825	4595	0	0.7270	0.1727	0	nan	16	2.8472	4037	8.7705	0.9958
997	727	8665	138	20	-0.3604	-3.8377	221	2	0	-1.2600	-0.6080	4595	0	0.6598	0.6240	0	nan	16	2.8556	3912	9.2380	0.9972
997	733	8645	135	12	-2.2278	-11.5880	221	3	0	-0.2333	-0.6030	4595	0	0.9986	0.6243	0	nan	19	2.9650	3829	1.5525	0.4904
997	739	8633	137	18	0.8863	-5.3640	221	3	1	-0.2070	0.4019	4595	0	0.8211	0.1734	0	nan	17	2.8698	3746	7.8620	0.9973
997	743	8615	135	16	-0.3809	-7.1898	220	4	1	0.8102	0.4078	4595	0	0.9137	0.1900	0	nan	20	2.9625	3686	6.0781	0.9569
997	751	8599	133	16	-0.9387	-6.9001	219	2	0	-1.1558	-0.5832	4595	0	0.9013	0.6240	0	nan	17	2.8602	3587	6.4474	0.9787
997	757	8583	134	20	1.1229	-2.6764	219	2	1	-1.1308	0.4214	4595	0	0.5040	0.1746	0	nan	17	2.7602	3498	10.7583	0.9987
997	761	8563	133	16	0.8213	-6.5046	218	3	1	-0.1143	0.4271	4595	0	0.9395	0.1539	0	nan	19	2.8017	3430	6.9855	0.9816
997	769	8547	131	14	0.1964	-8.2289	217	3	1	-0.0819	0.4356	4595	0	0.9727	0.1667	0	nan	19	2.7349	3316	5.3758	0.9570
997	773	8533	131	21	0.8732	-1.0776	216	4	1	0.9340	0.4411	4595	0	0.2578	0.1930	0	nan	16	2.8043	3252	12.5860	0.9987
997	787	8512	128	11	0.1881	-10.6315	215	3	0	-0.0114	-0.5464	4595	0	0.9975	0.6387	0	nan	16	2.6417	3071	3.1957	0.8372
997	797	8501	125	15	-1.2083	-6.3325	215	3	0	0.0263	-0.5395	4595	0	0.8869	0.6307	0	nan	17	2.8779	2942	7.6173	0.9962
997	809	8486	120	11	-4.3362	-9.9790	215	2	1	-0.9295	0.4685	4595	0	0.9889	0.1708	0	nan	17	2.8008	2777	4.1347	0.9332
997	811	8475	124	17	-0.0296	-3.9001	214	3	0	0.0777	-0.5277	4595	0	0.6914	0.6136	0	nan	17	2.7106	2747	10.2256	0.9988
997	821	8458	122	11	-0.5189	-9.6041	214	3	1	0.1133	0.4787	4595	0	0.9951	0.1768	0	nan	15	2.6504	2606	4.6516	0.9634
997	823	8447	121	11	-1.2211	-9.5273	213	5	2	2.1203	1.4824	4595	0	0.9988	0.9586	0	nan	16	2.6386	2571	4.7521	0.9793
997	827	8436	122	12	0.3700	-8.4015	211	5	0	2.1342	-0.5103	4595	0	0.9722	0.5944	0	nan	18	2.7846	2511	5.9274	0.9927
997	829	8424	119	7	-2.3366	-13.3233	211	3	0	0.1411	-0.5090	4595	0	0.9988	0.6304	0	nan	17	2.7370	2475	1.0290	0.4408
997	839	8417	116	9	-3.8903	-11.0644	211	2	0	-0.8248	-0.5030	4595	0	0.9988	0.6158	0	nan	17	2.6867	2360	3.3743	0.8926
