Q	Qn	a	k_lo	k_hi	W	S	N_A	N_A_sec	twins	twins_sec	surv	surv_sec	ok	sum_fresh	R	R_sec	prod	maxDf	gDf	NcurDf	freshDf	maxDr	gDr	maxDfs	gDfs	NcurDfs	freshDfs	E_win	E_sec	top_max	room	pct_mean	pct_sec_mean	maxDl	gDl	NliveDl	pct_live_mean	E_live
4649	4651	23	776	3605299	3604524	3099	770909	662	114919	77	114919	77	1	655990	0.9134	0.7127	0.1632	168.9130	701	203671	750	-17.0894	1979	5.4507	71	410	17	0.1461	0.9354	49.5678	11.7426	0.9184	0.5145	181.4151	701	199289	0.9624	0.3557
4651	4657	23	776	3614607	3613832	9307	772898	1989	115155	236	115155	236	1	657743	0.9133	0.7273	0.1631	168.4322	701	204190	751	-15.0995	1979	9.8790	157	873	21	0.1461	0.6649	49.6700	11.7447	0.9190	0.5471	180.9344	701	199808	0.9618	0.3372
4657	4663	23	777	3623927	3623151	9319	774883	1984	115423	268	115423	268	1	659460	0.9135	0.8284	0.1631	167.8488	701	204745	752	-15.1056	1979	-7.0896	67	1276	31	0.1462	0.5554	49.7861	11.7468	0.9191	0.5276	180.3509	701	200363	0.9616	0.3334
4663	4673	23	778	3639487	3638710	15559	778210	3327	115842	419	115842	419	1	662368	0.9133	0.7727	0.1630	168.2668	701	205650	755	17.2827	283	-8.0896	67	2147	56	0.1463	0.5225	49.8142	11.7507	0.9180	0.5638	180.7689	701	201268	0.9613	0.3325
4673	4679	23	780	3648839	3648060	9351	780212	2002	116089	247	116089	247	1	664123	0.9133	0.7573	0.1629	169.7546	701	206180	758	19.1343	283	6.0061	163	896	17	0.1464	0.6247	49.9204	11.7528	0.9180	0.5369	182.2568	701	201798	0.9607	0.3299
4679	4691	23	781	3667579	3666799	18739	784223	4012	116599	510	116599	510	1	667624	0.9130	0.7806	0.1629	170.6191	701	207279	762	17.2408	677	-16.1277	47	3011	112	0.1466	0.4834	50.0752	11.7575	0.9177	0.5602	183.1213	701	202897	0.9585	0.3277
4691	4703	23	783	3686367	3685585	18787	788237	4013	117099	500	117099	500	1	671138	0.9126	0.7654	0.1628	171.5235	701	208364	766	-15.5728	103	-12.6098	41	3313	149	0.1468	0.5116	50.1177	11.7622	0.9172	0.5688	184.0257	701	203982	0.9610	0.3298
4703	4721	23	785	3714639	3713855	28271	794297	6060	117865	766	117865	766	1	676432	0.9120	0.7768	0.1627	168.8217	701	210012	768	-18.3582	67	-10.5512	127	2956	36	0.1471	0.4312	49.8480	11.7694	0.9192	0.5700	181.3238	701	205630	0.9647	0.3318
4721	4723	23	788	3717787	3717000	3147	794963	667	117954	90	117954	90	1	677009	0.9123	0.8296	0.1626	-169.5183	191	333058	3318	-17.1024	127	4.3023	43	531	29	0.1470	0.7913	49.9699	11.7699	0.9193	0.5143	180.8074	701	205811	0.9641	0.3311
4723	4729	23	788	3727239	3726452	9451	796981	2017	118225	271	118225	271	1	678756	0.9124	0.8264	0.1626	-167.1780	191	333885	3329	17.5510	677	-8.1748	103	1039	12	0.1470	0.5645	50.0852	11.7720	0.9198	0.5313	179.2154	701	206369	0.9654	0.3334
4729	4733	23	789	3733547	3732759	6307	798323	1343	118400	175	118400	175	1	679923	0.9126	0.8018	0.1625	-168.1257	191	334453	3334	15.5864	677	8.4468	47	1000	51	0.1470	0.6694	50.1593	11.7732	0.9188	0.5142	178.2083	701	206722	0.9651	0.3321
4733	4751	23	790	3761999	3761210	28451	804410	6087	119212	812	119212	812	1	685198	0.9123	0.8212	0.1624	-168.7539	191	336996	3360	-18.8740	127	-14.7931	29	6087	405	0.1469	0.3683	50.4174	11.7804	0.9190	0.5378	176.4094	701	208404	0.9629	0.3288
4751	4759	23	793	3774679	3773887	12679	807123	2712	119549	337	119549	337	1	687574	0.9122	0.7653	0.1624	-170.7120	191	338138	3370	-19.5984	127	-10.8852	61	1796	48	0.1471	0.5747	50.5599	11.7834	0.9197	0.5494	176.3153	701	209138	0.9650	0.3303
4759	4783	23	794	3812847	3812054	38167	815286	8163	120591	1042	120591	1042	1	694695	0.9113	0.7865	0.1623	-172.4293	191	341549	3404	-18.1496	127	14.0345	29	8163	577	0.1474	0.3737	50.9580	11.7930	0.9220	0.5522	178.0585	701	211331	0.9701	0.3300
4783	4787	23	798	3819227	3818430	6379	816655	1369	120776	185	120776	185	1	695879	0.9116	0.8330	0.1622	-172.3455	191	342114	3410	-18.7087	127	5.2524	103	708	19	0.1474	0.6003	51.0361	11.7943	0.9228	0.5044	177.2790	577	229854	0.9679	0.3291
4787	4789	23	799	3822419	3821621	3191	817329	674	120851	76	120851	76	1	696478	0.9118	0.6953	0.1622	-170.2251	191	342389	3415	-18.3228	127	-5.0638	47	495	16	0.1475	0.9624	51.0678	11.7947	0.9231	0.5324	178.6702	661	216256	0.9682	0.3294
4789	4793	23	799	3828807	3828009	6387	818699	1370	121045	194	121045	194	1	697654	0.9121	0.8736	0.1621	-171.1309	191	342953	3420	-19.8976	127	7.7904	167	602	15	0.1473	0.6068	51.1498	11.7959	0.9226	0.5293	179.4841	661	216648	0.9670	0.3288
4793	4799	23	800	3838399	3837600	9591	820746	2046	121327	282	121327	282	1	699419	0.9123	0.8506	0.1620	-170.4315	197	337011	3251	-17.4553	1979	5.8691	191	872	15	0.1472	0.5423	51.2694	11.7980	0.9214	0.5349	178.0572	577	231072	0.9663	0.3311
4799	4801	23	801	3841599	3840799	3199	821434	689	121420	94	121420	94	1	700014	0.9126	0.8424	0.1620	-170.2234	197	337286	3254	-17.1506	1979	-6.4627	67	451	7	0.1471	0.7918	51.3087	11.7984	0.9213	0.5172	177.3536	577	231275	0.9655	0.3300
4801	4813	23	801	3860827	3860027	19227	825544	4109	121931	511	121931	511	1	703613	0.9123	0.7682	0.1619	-175.2995	197	338968	3266	20.0447	179	8.3562	73	2469	76	0.1473	0.5003	51.5259	11.8030	0.9218	0.5570	179.1594	577	232485	0.9677	0.3307
4813	4817	23	803	3867247	3866445	6419	826915	1371	122100	169	122100	169	1	704815	0.9124	0.7617	0.1618	-177.9746	197	339527	3269	16.7263	179	-5.0244	41	1128	50	0.1473	0.7136	51.5977	11.8042	0.9211	0.5412	179.8602	701	214555	0.9689	0.3305
4817	4831	23	804	3889759	3888956	22511	831732	4818	122733	633	122733	633	1	708999	0.9122	0.8122	0.1618	-180.0051	197	341500	3287	-20.1359	103	-13.0822	73	2923	67	0.1472	0.4256	51.3218	11.8096	0.9186	0.5463	178.1198	701	215866	0.9660	0.3296
4831	4861	23	806	3938219	3937414	48459	842101	10368	124108	1375	124108	1375	1	717993	0.9115	0.8202	0.1617	-179.8173	197	345717	3330	20.2570	677	13.8033	61	6899	240	0.1472	0.3230	51.8550	11.8216	0.9190	0.5598	180.4246	577	237313	0.9652	0.3280
4861	4871	23	811	3954439	3953629	16219	845576	3477	124575	467	124575	467	1	721001	0.9115	0.8310	0.1616	-180.2437	197	347138	3344	17.9911	677	8.7377	61	2326	85	0.1471	0.4595	52.0292	11.8253	0.9184	0.5370	179.9029	577	238329	0.9641	0.3267
4871	4877	23	813	3964187	3963375	9747	847650	2074	124835	260	124835	260	1	722815	0.9116	0.7759	0.1616	-182.6396	197	347965	3350	-17.2233	103	8.5254	59	1430	57	0.1471	0.6145	52.1387	11.8274	0.9199	0.5356	179.8614	577	238918	0.9660	0.3276
4877	4889	23	814	3983719	3982906	19531	851827	4176	125350	515	125350	515	1	726477	0.9112	0.7636	0.1615	-184.7665	197	349652	3365	18.8732	71	13.6197	71	2605	87	0.1473	0.5041	52.3558	11.8319	0.9179	0.5498	181.5735	701	221315	0.9653	0.3277
4889	4903	23	816	4006567	4005752	22847	856708	4882	125989	639	125989	639	1	730719	0.9110	0.8108	0.1614	-179.0711	197	351652	3391	-20.4646	127	-10.2291	179	2079	13	0.1473	0.4192	52.6252	11.8372	0.9191	0.5469	185.8631	577	241514	0.9674	0.3270
4903	4909	23	818	4016379	4015562	9811	858805	2097	126266	277	126266	277	1	732539	0.9111	0.8186	0.1614	-180.8731	197	352519	3398	-21.4882	127	6.5767	163	931	18	0.1473	0.5702	52.7417	11.8392	0.9180	0.5339	185.1526	701	223215	0.9665	0.3265
4909	4919	23	819	4032759	4031941	16379	862314	3508	126724	458	126724	458	1	735590	0.9111	0.8094	0.1613	-180.3604	197	353946	3413	21.4648	71	7.8686	137	1653	32	0.1474	0.4926	52.9351	11.8429	0.9189	0.5488	185.4593	701	224159	0.9682	0.3279
