generation,individual,population_size,generations,max_depth,keep_pct,crossover_pct,random_pct,match_weight_factor,mutation_rate,prune_rate,fitness,matches,elapsed_time_seconds,expression
1,9,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-900.0,6,49.52566647529602,((n + n) + ((n // 5) + cos(n)))
1,14,500,4000,3,0.5924277883948812,0.1147417811752721,0.2928304304298467,2.0,0.9165383725211703,0.026137438121206835,-545.0,5,28.045724630355835,"cosh(tan(nroot(n, 7)))"
1,18,100,5000,10,0.898814074470479,0.07763816317722386,0.023547762352297136,2.0,0.8479021194285334,0.4938087116203249,-295.0,4,8.888672828674316,(sqrt2 ** (sqrt3 + n))
1,20,100,2000,10,0.9586515763984814,0.020074014770278103,0.021274408831240477,2.0,0.6385194621150293,0.19525353441014603,-134.0,3,2.861372947692871,(sqrt((n + phi)) + n)
1,16,200,4000,9,0.31386765244957815,0.5994241895921185,0.08670815795830333,2.0,0.8011728746815645,0.4518677669912751,-295.0,4,33.09931683540344,(n + cosh(log2(n)))
1,13,500,5000,6,0.23190443463344496,0.16626258266765673,0.6018329826988984,2.0,0.14741674226731022,0.18064095242408545,-543.0,5,63.670841693878174,ceil(((phi ** n) ** tanh(3)))
1,7,2000,2000,4,0.5073722646586531,0.14782493386267875,0.3448028014786681,2.0,0.8816240552334598,0.006933009482653407,-544.0,5,86.91241765022278,(phi + cosh(log_{sqrt3}(n)))
1,19,1000,3000,5,0.6492237375856605,0.19650216056368547,0.154274101850654,2.0,0.05191261040549888,0.252185987206026,-543.0,5,57.64646363258362,"nroot(((n + 2) << n), sqrt5)"
1,8,1000,5000,4,0.12835972936395126,0.6817072213063065,0.1899330493297423,2.0,0.05202379845043416,0.36242732743324024,-540.0,5,116.87836170196533,((sqrt((n ^ (n << n))) ** catalan) + catalan)
1,17,1500,3000,6,0.6113730041846077,0.09247869664264012,0.29614829917275215,2.0,0.3111511153985871,0.3351033267577178,-542.0,5,85.12832427024841,((tan(1) ** (n - catalan)) + n)
2,8,200,3000,3,0.6070204155708372,0.29717270649271593,0.09580687793644688,2.0,0.7967104192369375,0.2260407269855158,-294.0,4,9.402523517608643,((n ** tanh(sqrt5)) + n)
2,4,200,3000,5,0.6070204155708372,0.29717270649271593,0.09580687793644688,2.0,0.7967104192369375,0.2260407269855158,-295.0,4,14.098634719848633,(cosh(log2(n)) + n)
2,7,300,1500,8,0.22554206409060665,0.1431159232905294,0.631342012618864,2.0,0.4161039981792276,0.3196864095506368,-545.0,5,16.648825645446777,ceil((log(5) ** n))
2,3,300,1500,8,0.22554206409060665,0.1431159232905294,0.631342012618864,2.0,0.4161039981792276,0.3196864095506368,-294.0,4,17.044437170028687,((n // atan(n)) + n)
2,1,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-295.0,4,19.391918897628784,(n + (n ** catalan))
2,5,500,4000,3,0.5924277883948812,0.1147417811752721,0.2928304304298467,2.0,0.9165383725211703,0.026137438121206835,-545.0,5,28.329514741897583,"cosh(tan(nroot(n, 7)))"
2,9,500,3000,3,0.5924277883948812,0.1147417811752721,0.2928304304298467,2.0,0.9165383725211703,0.026137438121206835,-295.0,4,19.622633695602417,(n + (n ** catalan))
2,6,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.4522473258041357,-543.0,5,29.765456438064575,(n + cosh(log2((sqrt2 ** n))))
2,10,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-543.0,5,30.027575969696045,((sqrt3 ** (n ** catalan)) + ln2)
2,12,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-295.0,4,27.87593936920166,((n ** catalan) + n)
2,2,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-541.0,5,46.02105402946472,(((n ** (n / 4)) ** catalan) + n)
2,13,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.42492416739783095,-543.0,5,28.040146589279175,(euler_gamma + (sqrt3 ** (n ** catalan)))
2,11,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-543.0,5,36.785714864730835,sinh(sqrt((sinh(sqrt(n)) + n)))
2,15,300,2000,9,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-543.0,5,31.9514639377594,sinh(sqrt((sinh(sqrt(n)) + n)))
2,19,200,3000,3,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-542.0,5,20.061325788497925,(n + (n ** (log10(n) * phi)))
2,18,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-544.0,5,21.975200176239014,(sqrt(ln2) + (phi ** n))
2,14,500,4000,3,0.5326472297569288,0.3844423474300138,0.08291042281305738,2.0,0.9165383725211703,0.026137438121206835,-544.0,5,47.35619139671326,sinh(log_{6}((8 << n)))
2,16,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-1390.0,7,49.17718005180359,"(nroot(n, sin(sin(sqrt((n min 5))))) + sqrt2)"
2,20,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-542.0,5,31.72893500328064,((n ** log10((n ** phi))) + n)
2,17,200,3000,10,0.16605349487443732,0.7818683458379699,0.05207815928759274,2.0,0.3158885874952157,0.25658216854966476,-542.0,5,35.11191964149475,"(nroot(n, sinh(acos(log10(n)))) + n)"
3,2,300,1500,8,0.22554206409060665,0.1431159232905294,0.631342012618864,2.0,0.4161039981792276,0.3196864095506368,-534.0,5,19.913944959640503,((log(floor((sqrt3 ** (abs(((2 min ln2) + G)) * n)))) * n) + ln10)
3,6,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-295.0,4,21.395824432373047,(ln2 + (n * phi))
3,8,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-295.0,4,21.487900733947754,(n + (n ** catalan))
3,4,300,2000,6,0.1721192603121538,0.4141015777049112,0.4137791619829351,2.0,0.557815334384937,0.21134166557754852,-296.0,4,23.2110333442688,ceil((phi ** n))
