fitness,matches,expression
-893.0,6,(atan(n) + (((n + n) ** log10((n + n))) min (n + n)))
-893.0,6,((atan((n + sqrt((n & (n ** n))))) ** n) + n)
-893.0,6,((sqrt((n + sinh(n))) + sqrt(n)) min ((phi + n) + n))
-893.0,6,((sqrt((cosh(n) + n)) + sqrt(n)) min ((n + n) + log(n)))
-893.0,6,((sqrt((cosh(n) + n)) min (n + (n ** catalan))) + sqrt(n))
-893.0,6,((atan((sqrt((n & (n ** n))) + n)) ** n) + n)
-893.0,6,(n - (((n - cosh((n // phi))) / pi) - n))
-893.0,6,((cosh(cosh((n / pi))) % ((e + n) - euler_gamma)) + n)
-893.0,6,((cosh(cosh((n / pi))) % (e + n)) + n)
-893.0,6,((n + cosh((n / floor(e)))) min (n + cosh(e)))
-893.0,6,((sqrt((sinh(n) + n)) + sqrt(n)) min ((n + n) + atan(n)))
-893.0,6,((sqrt(n) + sqrt((sinh(n) + n))) min (n + (n + phi)))
-893.0,6,(((((cos(n) * n) min (n / pi)) max cos(n)) + n) + n)
-893.0,6,((n + (atan(n) + n)) min (atan(c) ** (n + euler_gamma)))
-892.0,6,"((n + nroot((n + cos(n)), catalan)) min (n + (n + phi)))"
-892.0,6,sinh(sqrt(((sinh(sqrt(n)) + n) min (sinh(e) + pi))))
-892.0,6,(sqrt(cosh(((e + e) min n))) + (e min n))
-892.0,6,(n + (cos(n) + ((cos((n << n)) * cos((n << n))) + n)))
-892.0,6,((sqrt(cosh(n)) + sqrt((phi + n))) min (n + (n + phi)))
-892.0,6,((n ** euler_gamma) + sqrt(sinh((n min (e + e)))))
-892.0,6,((cos((n max pi)) + ((cos(n) + n) // n)) + (n + n))
-892.0,6,(sqrt(sinh(((e + e) min n))) + (e min n))
-892.0,6,(n + (sqrt((n + (factorial(n) / pi))) min (n + (n / pi))))
-891.0,6,((n + (log_{catalan}(sqrt(ceil(n))) % tanh(e))) + (n + cos(n)))
-891.0,6,(((n + cosh(log2(n))) max (phi ** n)) min ((n + n) + phi))
-891.0,6,(sqrt(n) + sqrt((n + (sinh(n) min sinh((pi / euler_gamma))))))
